Year,sex,smoker
1965,?,82.3
1965,?,15.7
1966,?,83.7
1966,?,18
1967,?,82.3
1967,?,17.7
1968,?,78.5
1968,?,15.4
1969,?,79.1
1969,?,15.4
1970,?,77.5
1970,?,15.6
1971,?,77.4
1971,?,14.7
1972,?,77.6
1972,?,15.5
1973,?,78.3
1973,"?
",15.1
1974,?,78.8
1974,?,16.7
1975,?,76.2
1975,?,15.1
1976,?,75.1
1976,?,15.4
1977,?,75.1
1977,?,15.1
1978,?,74.7
1978,?,16.2
1979,?,73.1
1979,?,15.4
1980,?,70.2
1980,?,14.4
1981,?,70.8
1981,?,15.3
1982,?,70.1
1982,?,15.4
1983,?,66.1
1983,?,13.5
1984,?,65.5
1984,?,14
1985,?,64.6
1985,?,13.7
1986,?,62.5
1986,?,12.6
1987,?,61.6
1987,?,13.4
1988,?,61.2
1988,?,13.1
1989,?,61.1
1989,?,12.7
1990,?,60.5
1990,?,14.3
1991,?,61.2
1991,?,14.2
1992,?,60.4
1992,?,13.3
1993,?,59.8
1993,?,13.3
1994,?,59
1994,?,14.8
1995,?,58.8
1995,?,15.2
1996,?,57.5
1996,?,14.2
1997,?,56.1
1997,?,14.5
1998,?,55.2
1998,?,13.3
1999,?,54
1999,?,14.5
2000,?,53.5
2000,?,13.7
2001,?,52
2001,?,14.7
2002,?,49.1
2002,?,14
2003,?,48.3
2003,?,13.6
2004,?,46.9
2004,?,13.2
2005,?,45.8
2005,?,13.8
2006,?,41.3
2006,?,12.4
2007,?,40.2
2007,?,12.7
2008,?,39.5
2008,?,12.9
2009,?,38.9
2009,?,11.9
2010,?,36.6
2010,?,12.1
2011,?,33.7
2011,?,10.6
2012,?,32.7
2012,?,10.4
2013,?,32.2
2013,?,10.5
2014,?,30.3
2014,?,9.8
2015,?,31
2015,?,9.6
2016,?,29.7
2016,?,9.7
2017,?,28.2
2017,?,9
2018,?,27.8
2018,?,8.7
